,Name,Score,Review,Link,Addr,area,lat,lng
112,생각하는정원 카페,0.0,0,https://place.map.kakao.com/17560307,"
제주특별자치도 제주시 한경면 녹차분재로 675
(지번) 한경면 저지리 1535-1
",hangyeong,33.326752,126.253367
113,스토리온,0.0,0,https://place.map.kakao.com/13615194,"
제주특별자치도 제주시 한경면 용금로 862-21
(지번) 한경면 저지리 2120-174
",hangyeong,33.334974,126.256544
114,꼬닥꼬닥,5.0,0,https://place.map.kakao.com/1891548585,"
제주특별자치도 제주시 한경면 판포중2길 5-2
(지번) 한경면 판포리 2599-1
",hangyeong,33.35874039999999,126.2016622
115,카페이프,0.0,0,https://place.map.kakao.com/167549874,"
제주특별자치도 제주시 한경면 녹차분재로 354
(지번) 한경면 저지리 3267
",hangyeong,33.326752,126.253367
116,아도스팩토리,0.0,0,https://place.map.kakao.com/1249787282,"
제주특별자치도 제주시 한경면 판포중2길 21-262 나동 1층
(지번) 한경면 판포리 2439-2
",hangyeong,33.3573318,126.2017589
117,벚유,0.0,9,https://place.map.kakao.com/444774790,"
제주특별자치도 제주시 한경면 두모11길 51
(지번) 한경면 두모리 2621-1
",hangyeong,33.356885,126.1825953
118,디오리오르 아트앤카페,0.0,0,https://place.map.kakao.com/27485828,"
제주특별자치도 제주시 한경면 용금로 862-34
(지번) 한경면 저지리 2139
",hangyeong,33.334974,126.256544
119,우드앤카페,0.0,0,https://place.map.kakao.com/1228430560,"
제주특별자치도 제주시 한경면 일주서로 4264
(지번) 한경면 신창리 118
",hangyeong,33.34629049999999,126.1856276
120,카페오트,0.0,1,https://place.map.kakao.com/1492085646,"
제주특별자치도 제주시 한경면 녹차분재로 672
(지번) 한경면 저지리 1530
",hangyeong,33.326752,126.253367
121,페이지유,0.0,0,https://place.map.kakao.com/24877763,"
제주특별자치도 제주시 한경면 저지14길 47-2
(지번) 한경면 저지리 2114-179
",hangyeong,33.3411272,126.264899
122,골든망고 신창풍차해안본점,5.0,0,https://place.map.kakao.com/1021562497,"
제주특별자치도 제주시 한경면 한경해안로 485
(지번) 한경면 신창리 1481-21
",hangyeong,33.3429971,126.1722191
123,스틸슬로우,0.0,1,https://place.map.kakao.com/685949150,"
제주특별자치도 제주시 한경면 청수동4길 139-31 가동 1층
(지번) 한경면 청수리 11
",hangyeong,33.3167647,126.260641
124,토니커피,0.0,0,https://place.map.kakao.com/1535388275,"
제주특별자치도 제주시 한경면 연명로 13-2 1층
(지번) 한경면 청수리 3289
",hangyeong,33.2928472,126.235167
125,커피&커리,0.0,0,https://place.map.kakao.com/63449029,"
제주특별자치도 제주시 한경면 고산로 40
(지번) 한경면 고산리 2249-6
",hangyeong,33.3046036,126.1797029
126,몽데,0.0,0,https://place.map.kakao.com/92942111,"
제주특별자치도 제주시 한경면 청수동8길 4 A동 1층
(지번) 한경면 청수리 745-1
",hangyeong,33.3071772,126.255889
127,미술관옆집 제주,0.0,0,https://place.map.kakao.com/70404021,"
제주특별자치도 제주시 한경면 저지12길 71-1
(지번) 한경면 저지리 2114-12
",hangyeong,33.3388697,126.264121
128,카페파람 전기차충전소,0.0,0,https://place.map.kakao.com/387001298,"
제주특별자치도 제주시 한경면 한경해안로 470
(지번) 한경면 신창리 1353-1
",hangyeong,33.3417993,126.1713215
129,몽땅 신화월드점,4.4,318,https://place.map.kakao.com/26591040,"
제주특별자치도 제주시 한경면 연명로 385 1층
(지번) 한경면 청수리 157-11
",hangyeong,33.3001516,126.2511949
130,쉴만한물가,4.2,13,https://place.map.kakao.com/12020471,"
제주특별자치도 제주시 한림읍 월령안길 30
(지번) 한림읍 월령리 435-4
",hanlim,33.3760029,126.2140895
131,마노,3.8,0,https://place.map.kakao.com/1515786263,"
제주특별자치도 제주시 한림읍 월령1길 24 1, 2층
(지번) 한림읍 월령리 379
",hanlim,33.3758148,126.2145489
132,월령15,4.5,16,https://place.map.kakao.com/639065248,"
제주특별자치도 제주시 한림읍 한림로 15
(지번) 한림읍 월령리 249
",hanlim,33.3762736,126.2178061
