Name,Score,Review,Link,Addr
도렐 제주본점,3.7,리뷰 382,https://place.map.kakao.com/1375299538,"
제주특별자치도 서귀포시 성산읍 동류암로 20 플레이스 Love동 1층
(지번) 성산읍 고성리 297-1
"
카페록록,,리뷰 269,https://place.map.kakao.com/292093583,"
제주특별자치도 제주시 구좌읍 하도서문길 41 1층
(지번) 구좌읍 하도리 1890-2
"
베이커리카페,0.0,리뷰 0,https://place.map.kakao.com/764133357,"
제주특별자치도 서귀포시 성산읍 성산등용로17번길 35
(지번) 성산읍 성산리 169-16
"
호랑호랑,3.9,리뷰 49,https://place.map.kakao.com/1133384427,"
제주특별자치도 서귀포시 성산읍 일출로 86 C동
(지번) 성산읍 고성리 235
"
스타벅스 제주성산DT점,3.5,리뷰 309,https://place.map.kakao.com/414395112,"
제주특별자치도 서귀포시 성산읍 일출로 80
(지번) 성산읍 고성리 238
"
떡과차,0.0,리뷰 0,https://place.map.kakao.com/835186992,"
제주특별자치도 제주시 구좌읍 종달논길 56
(지번) 구좌읍 종달리 813
"
종달길카페,5.0,리뷰 13,https://place.map.kakao.com/170342213,"
제주특별자치도 제주시 구좌읍 종달논길 56
(지번) 구좌읍 종달리 813
"
카페더모해,0.0,리뷰 1,https://place.map.kakao.com/826589362,"
제주특별자치도 서귀포시 성산읍 일출로 267
(지번) 성산읍 성산리 150
"
제이토스트,0.0,리뷰 0,https://place.map.kakao.com/466025081,"
제주특별자치도 서귀포시 성산읍 해맞이해안로 2690
(지번) 성산읍 오조리 398-10
"
리치망고 하도점,3.5,리뷰 33,https://place.map.kakao.com/26915456,"
제주특별자치도 제주시 구좌읍 해맞이해안로 1752
(지번) 구좌읍 하도리 473
"
두가시앤오가니끄,5.0,리뷰 13,https://place.map.kakao.com/530083755,"
제주특별자치도 제주시 구좌읍 종달로5길 3 1동
(지번) 구좌읍 종달리 1783
"
플라이오조,4.3,리뷰 38,https://place.map.kakao.com/897536273,"
제주특별자치도 서귀포시 성산읍 오조로85번길 44
(지번) 성산읍 오조리 792-1
"
속솜,4.5,리뷰 118,https://place.map.kakao.com/1599485415,"
제주특별자치도 제주시 구좌읍 해맞이해안로 1655 1,2층
(지번) 구좌읍 하도리 1895-2
"
19티 성산일출봉점,0.0,리뷰 3,https://place.map.kakao.com/1321393295,"
제주특별자치도 서귀포시 성산읍 일출로 264-1 1층 2호
(지번) 성산읍 성산리 139-3
"
늘보네커피,0.0,리뷰 0,https://place.map.kakao.com/794359507,"
제주특별자치도 서귀포시 성산읍 한도로 82
(지번) 성산읍 오조리 338
"
탕탕,4.0,리뷰 11,https://place.map.kakao.com/1706586669,"
제주특별자치도 제주시 구좌읍 하도15길 80 1층
(지번) 구좌읍 하도리 947-36
"
성수미술관 제주특별점,5.0,리뷰 67,https://place.map.kakao.com/125569847,"
제주특별자치도 제주시 구좌읍 해맞이해안로 1726
(지번) 구좌읍 하도리 1743
"
이스틀리,4.1,리뷰 37,https://place.map.kakao.com/2043082568,"
제주특별자치도 서귀포시 성산읍 산성효자로114번길 131-1 미래동 2층
(지번) 성산읍 오조리 1052-4
"
비어라운드,3.6,리뷰 2,https://place.map.kakao.com/27610067,"
제주특별자치도 제주시 구좌읍 하도9길 72
(지번) 구좌읍 하도리 907
"
시호스,5.0,리뷰 15,https://place.map.kakao.com/1171662959,"
제주특별자치도 서귀포시 성산읍 일출로 246 2층
(지번) 성산읍 성산리 399-9
"
엘예그리나,0.0,리뷰 0,https://place.map.kakao.com/17232405,"
제주특별자치도 제주시 구좌읍 종달로1길 5-1
(지번) 구좌읍 종달리 1722-6
"
카페에서,0.0,리뷰 0,https://place.map.kakao.com/451779205,"
제주특별자치도 서귀포시 성산읍 해맞이해안로 2670
(지번) 성산읍 시흥리 195-1
"
하도테이블,4.0,리뷰 3,https://place.map.kakao.com/38149795,"
제주특별자치도 제주시 구좌읍 하도9길 72
(지번) 구좌읍 하도리 907
"
블랑드오조,4.3,리뷰 19,https://place.map.kakao.com/1148534678,"
제주특별자치도 서귀포시 성산읍 오조로80번길 18
(지번) 성산읍 오조리 231
"
하도1940,4.5,리뷰 26,https://place.map.kakao.com/649431482,"
제주특별자치도 제주시 구좌읍 해맞이해안로 1681-3
(지번) 구좌읍 하도리 1940
"
현애원&카페이스틀리,0.0,리뷰 8,https://place.map.kakao.com/2004162974,"
제주특별자치도 서귀포시 성산읍 산성효자로114번길 131-1 2층
(지번) 성산읍 오조리 1052-4
"
바보나무사진카페,5.0,리뷰 5,https://place.map.kakao.com/1538976634,"
제주특별자치도 제주시 구좌읍 해맞이해안로 1800 1층
(지번) 구좌읍 하도리 429-11
"
망고레이 섭지코지점,3.6,리뷰 68,https://place.map.kakao.com/26301545,"
제주특별자치도 서귀포시 성산읍 신양로 102
(지번) 성산읍 고성리 204-2
"
